Logging to ./data/ppo_2l/seed_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 0.578       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 18          |
|    time_elapsed         | 778         |
|    total_timesteps      | 67500       |
| train/                  |             |
|    approx_kl            | 0.019450666 |
|    clip_fraction        | 0.434       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.741       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0484      |
|    n_updates            | 340         |
|    policy_gradient_loss | 0.00527     |
|    std                  | 0.055       |
|    value_loss           | 0.00896     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.578      |
| time/                   |            |
|    fps                  | 86         |
|    iterations           | 19         |
|    time_elapsed         | 819        |
|    total_timesteps      | 71250      |
| train/                  |            |
|    approx_kl            | 0.02039597 |
|    clip_fraction        | 0.451      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.748      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0441     |
|    n_updates            | 360        |
|    policy_gradient_loss | 0.0099     |
|    std                  | 0.055      |
|    value_loss           | 0.0088     |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.617       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.588       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 20          |
|    time_elapsed         | 882         |
|    total_timesteps      | 75000       |
| train/                  |             |
|    approx_kl            | 0.024997514 |
|    clip_fraction        | 0.459       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.753       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0283      |
|    n_updates            | 380         |
|    policy_gradient_loss | 0.00482     |
|    std                  | 0.055       |
|    value_loss           | 0.00802     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.584       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 21          |
|    time_elapsed         | 923         |
|    total_timesteps      | 78750       |
| train/                  |             |
|    approx_kl            | 0.030460963 |
|    clip_fraction        | 0.467       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.77        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0317      |
|    n_updates            | 400         |
|    policy_gradient_loss | 0.00414     |
|    std                  | 0.055       |
|    value_loss           | 0.00794     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.582       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 22          |
|    time_elapsed         | 964         |
|    total_timesteps      | 82500       |
| train/                  |             |
|    approx_kl            | 0.027532514 |
|    clip_fraction        | 0.462       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.768       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0172      |
|    n_updates            | 420         |
|    policy_gradient_loss | 0.0097      |
|    std                  | 0.055       |
|    value_loss           | 0.00797     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.588       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 23          |
|    time_elapsed         | 1006        |
|    total_timesteps      | 86250       |
| train/                  |             |
|    approx_kl            | 0.017770162 |
|    clip_fraction        | 0.465       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.781       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0412      |
|    n_updates            | 440         |
|    policy_gradient_loss | 0.00718     |
|    std                  | 0.055       |
|    value_loss           | 0.00754     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.589       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 24          |
|    time_elapsed         | 1047        |
|    total_timesteps      | 90000       |
| train/                  |             |
|    approx_kl            | 0.013585241 |
|    clip_fraction        | 0.432       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.795       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0508      |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.00252    |
|    std                  | 0.055       |
|    value_loss           | 0.00727     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 5         |
|    ep_rew_mean          | 0.589     |
| time/                   |           |
|    fps                  | 86        |
|    iterations           | 25        |
|    time_elapsed         | 1088      |
|    total_timesteps      | 93750     |
| train/                  |           |
|    approx_kl            | 0.0291786 |
|    clip_fraction        | 0.489     |
|    clip_range           | 0.1       |
|    entropy_loss         | -94.8     |
|    explained_variance   | 0.798     |
|    learning_rate        | 1e-05     |
|    loss                 | 0.0425    |
|    n_updates            | 480       |
|    policy_gradient_loss | 0.00875   |
|    std                  | 0.055     |
|    value_loss           | 0.00645   |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.59        |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 26          |
|    time_elapsed         | 1129        |
|    total_timesteps      | 97500       |
| train/                  |             |
|    approx_kl            | 0.026317254 |
|    clip_fraction        | 0.428       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.808       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0225      |
|    n_updates            | 500         |
|    policy_gradient_loss | 0.00274     |
|    std                  | 0.055       |
|    value_loss           | 0.00642     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.59        |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 27          |
|    time_elapsed         | 1170        |
|    total_timesteps      | 101250      |
| train/                  |             |
|    approx_kl            | 0.020415107 |
|    clip_fraction        | 0.472       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.804       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.051       |
|    n_updates            | 520         |
|    policy_gradient_loss | 0.00772     |
|    std                  | 0.055       |
|    value_loss           | 0.00661     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.59       |
| time/                   |            |
|    fps                  | 86         |
|    iterations           | 28         |
|    time_elapsed         | 1211       |
|    total_timesteps      | 105000     |
| train/                  |            |
|    approx_kl            | 0.04554894 |
|    clip_fraction        | 0.459      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.799      |
|    learning_rate        | 1e-05      |
|    loss                 | -0.0528    |
|    n_updates            | 540        |
|    policy_gradient_loss | 0.00287    |
|    std                  | 0.055      |
|    value_loss           | 0.0072     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.59        |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 29          |
|    time_elapsed         | 1252        |
|    total_timesteps      | 108750      |
| train/                  |             |
|    approx_kl            | 0.011710513 |
|    clip_fraction        | 0.445       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.805       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0698      |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.00138    |
|    std                  | 0.055       |
|    value_loss           | 0.00711     |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.644       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.589       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 30          |
|    time_elapsed         | 1316        |
|    total_timesteps      | 112500      |
| train/                  |             |
|    approx_kl            | 0.019518219 |
|    clip_fraction        | 0.442       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.814       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0266      |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0026     |
|    std                  | 0.055       |
|    value_loss           | 0.00671     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.596       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 31          |
|    time_elapsed         | 1358        |
|    total_timesteps      | 116250      |
| train/                  |             |
|    approx_kl            | 0.022747094 |
|    clip_fraction        | 0.458       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.816       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0461      |
|    n_updates            | 600         |
|    policy_gradient_loss | 0.0105      |
|    std                  | 0.055       |
|    value_loss           | 0.0061      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.595       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 32          |
|    time_elapsed         | 1399        |
|    total_timesteps      | 120000      |
| train/                  |             |
|    approx_kl            | 0.017278776 |
|    clip_fraction        | 0.463       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.82        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0529      |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.00234    |
|    std                  | 0.055       |
|    value_loss           | 0.00661     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.589       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 33          |
|    time_elapsed         | 1440        |
|    total_timesteps      | 123750      |
| train/                  |             |
|    approx_kl            | 0.019649053 |
|    clip_fraction        | 0.463       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.826       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0551      |
|    n_updates            | 640         |
|    policy_gradient_loss | 0.00666     |
|    std                  | 0.055       |
|    value_loss           | 0.00549     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.591       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 34          |
|    time_elapsed         | 1480        |
|    total_timesteps      | 127500      |
| train/                  |             |
|    approx_kl            | 0.034735974 |
|    clip_fraction        | 0.447       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.83        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0215      |
|    n_updates            | 660         |
|    policy_gradient_loss | 0.00814     |
|    std                  | 0.055       |
|    value_loss           | 0.00523     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.588       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 35          |
|    time_elapsed         | 1520        |
|    total_timesteps      | 131250      |
| train/                  |             |
|    approx_kl            | 0.022453934 |
|    clip_fraction        | 0.423       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.826       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0375      |
|    n_updates            | 680         |
|    policy_gradient_loss | 0.00392     |
|    std                  | 0.055       |
|    value_loss           | 0.00576     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.594       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 36          |
|    time_elapsed         | 1562        |
|    total_timesteps      | 135000      |
| train/                  |             |
|    approx_kl            | 0.014206834 |
|    clip_fraction        | 0.438       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.83        |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0635      |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.000951   |
|    std                  | 0.055       |
|    value_loss           | 0.00643     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.595      |
| time/                   |            |
|    fps                  | 86         |
|    iterations           | 37         |
|    time_elapsed         | 1604       |
|    total_timesteps      | 138750     |
| train/                  |            |
|    approx_kl            | 0.03236131 |
|    clip_fraction        | 0.473      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.825      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0167     |
|    n_updates            | 720        |
|    policy_gradient_loss | 0.00543    |
|    std                  | 0.055      |
|    value_loss           | 0.00604    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.6         |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 38          |
|    time_elapsed         | 1645        |
|    total_timesteps      | 142500      |
| train/                  |             |
|    approx_kl            | 0.013166769 |
|    clip_fraction        | 0.41        |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.824       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.066       |
|    n_updates            | 740         |
|    policy_gradient_loss | 0.000801    |
|    std                  | 0.055       |
|    value_loss           | 0.00606     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.597       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 39          |
|    time_elapsed         | 1686        |
|    total_timesteps      | 146250      |
| train/                  |             |
|    approx_kl            | 0.028554685 |
|    clip_fraction        | 0.475       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.837       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0284      |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.00161    |
|    std                  | 0.055       |
|    value_loss           | 0.00607     |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.656       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.596       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 40          |
|    time_elapsed         | 1749        |
|    total_timesteps      | 150000      |
| train/                  |             |
|    approx_kl            | 0.018079296 |
|    clip_fraction        | 0.431       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.837       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0613      |
|    n_updates            | 780         |
|    policy_gradient_loss | 0.00674     |
|    std                  | 0.055       |
|    value_loss           | 0.00535     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.597       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 41          |
|    time_elapsed         | 1789        |
|    total_timesteps      | 153750      |
| train/                  |             |
|    approx_kl            | 0.057989314 |
|    clip_fraction        | 0.397       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.843       |
|    learning_rate        | 1e-05       |
|    loss                 | -0.0327     |
|    n_updates            | 800         |
|    policy_gradient_loss | 0.000511    |
|    std                  | 0.055       |
|    value_loss           | 0.00545     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.598       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 42          |
|    time_elapsed         | 1831        |
|    total_timesteps      | 157500      |
| train/                  |             |
|    approx_kl            | 0.021230929 |
|    clip_fraction        | 0.496       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.843       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0263      |
|    n_updates            | 820         |
|    policy_gradient_loss | 0.00398     |
|    std                  | 0.055       |
|    value_loss           | 0.00513     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.594       |
| time/                   |             |
|    fps                  | 86          |
|    iterations           | 43          |
|    time_elapsed         | 1874        |
|    total_timesteps      | 161250      |
| train/                  |             |
|    approx_kl            | 0.037260134 |
|    clip_fraction        | 0.471       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.837       |
|    learning_rate        | 1e-05       |
|    loss                 | -0.000146   |
|    n_updates            | 840         |
|    policy_gradient_loss | 0.00132     |
|    std                  | 0.055       |
|    value_loss           | 0.00589     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.598      |
| time/                   |            |
|    fps                  | 86         |
|    iterations           | 44         |
|    time_elapsed         | 1915       |
|    total_timesteps      | 165000     |
| train/                  |            |
|    approx_kl            | 0.01353585 |
|    clip_fraction        | 0.398      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.846      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0617     |
|    n_updates            | 860        |
|    policy_gradient_loss | -0.000145  |
|    std                  | 0.055      |
|    value_loss           | 0.00554    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.604      |
| time/                   |            |
|    fps                  | 86         |
|    iterations           | 45         |
|    time_elapsed         | 1957       |
|    total_timesteps      | 168750     |
| train/                  |            |
|    approx_kl            | 0.02640482 |
|    clip_fraction        | 0.492      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
