Logging to ./data/ppo_1l/seed_2
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.59        |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 18          |
|    time_elapsed         | 4065        |
|    total_timesteps      | 45000       |
| train/                  |             |
|    approx_kl            | 0.007420108 |
|    clip_fraction        | 0.368       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.744       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0496      |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.055       |
|    value_loss           | 0.00797     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.59       |
| time/                   |            |
|    fps                  | 11         |
|    iterations           | 19         |
|    time_elapsed         | 4291       |
|    total_timesteps      | 47500      |
| train/                  |            |
|    approx_kl            | 0.00710196 |
|    clip_fraction        | 0.383      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.743      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0501     |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0343    |
|    std                  | 0.055      |
|    value_loss           | 0.00798    |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5           |
|    mean_reward          | 0.617       |
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.587       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 20          |
|    time_elapsed         | 4538        |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.008980239 |
|    clip_fraction        | 0.389       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.756       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0485      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0361     |
|    std                  | 0.055       |
|    value_loss           | 0.00764     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.589       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 21          |
|    time_elapsed         | 4764        |
|    total_timesteps      | 52500       |
| train/                  |             |
|    approx_kl            | 0.007847519 |
|    clip_fraction        | 0.394       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.777       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0537      |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.036      |
|    std                  | 0.055       |
|    value_loss           | 0.00695     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.586        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 22           |
|    time_elapsed         | 4989         |
|    total_timesteps      | 55000        |
| train/                  |              |
|    approx_kl            | 0.0071120695 |
|    clip_fraction        | 0.373        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.768        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0598       |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.0338      |
|    std                  | 0.055        |
|    value_loss           | 0.00731      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.593       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 23          |
|    time_elapsed         | 5212        |
|    total_timesteps      | 57500       |
| train/                  |             |
|    approx_kl            | 0.007669989 |
|    clip_fraction        | 0.397       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.779       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0502      |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0353     |
|    std                  | 0.055       |
|    value_loss           | 0.00692     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.587       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 24          |
|    time_elapsed         | 5435        |
|    total_timesteps      | 60000       |
| train/                  |             |
|    approx_kl            | 0.007109424 |
|    clip_fraction        | 0.372       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.791       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0526      |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.035      |
|    std                  | 0.055       |
|    value_loss           | 0.00656     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.594        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 25           |
|    time_elapsed         | 5656         |
|    total_timesteps      | 62500        |
| train/                  |              |
|    approx_kl            | 0.0073727113 |
|    clip_fraction        | 0.37         |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.783        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0565       |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.035       |
|    std                  | 0.0551       |
|    value_loss           | 0.00682      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.595       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 26          |
|    time_elapsed         | 5881        |
|    total_timesteps      | 65000       |
| train/                  |             |
|    approx_kl            | 0.007950107 |
|    clip_fraction        | 0.384       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.785       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0505      |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0354     |
|    std                  | 0.0551      |
|    value_loss           | 0.00673     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.591       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 27          |
|    time_elapsed         | 6106        |
|    total_timesteps      | 67500       |
| train/                  |             |
|    approx_kl            | 0.008671375 |
|    clip_fraction        | 0.384       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.805       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0508      |
|    n_updates            | 520         |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.0551      |
|    value_loss           | 0.00614     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.594       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 28          |
|    time_elapsed         | 6330        |
|    total_timesteps      | 70000       |
| train/                  |             |
|    approx_kl            | 0.008542162 |
|    clip_fraction        | 0.395       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.799       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0488      |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.0372     |
|    std                  | 0.0551      |
|    value_loss           | 0.00633     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.591        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 29           |
|    time_elapsed         | 6556         |
|    total_timesteps      | 72500        |
| train/                  |              |
|    approx_kl            | 0.0071494314 |
|    clip_fraction        | 0.385        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.797        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0568       |
|    n_updates            | 560          |
|    policy_gradient_loss | -0.0353      |
|    std                  | 0.0551       |
|    value_loss           | 0.00644      |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 5            |
|    mean_reward          | 0.633        |
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.597        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 30           |
|    time_elapsed         | 6803         |
|    total_timesteps      | 75000        |
| train/                  |              |
|    approx_kl            | 0.0069370857 |
|    clip_fraction        | 0.372        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.809        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0531       |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.0352      |
|    std                  | 0.0551       |
|    value_loss           | 0.00599      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.594      |
| time/                   |            |
|    fps                  | 11         |
|    iterations           | 31         |
|    time_elapsed         | 7029       |
|    total_timesteps      | 77500      |
| train/                  |            |
|    approx_kl            | 0.00829824 |
|    clip_fraction        | 0.392      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.8      |
|    explained_variance   | 0.803      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0525     |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0362    |
|    std                  | 0.0551     |
|    value_loss           | 0.00622    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.594       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 32          |
|    time_elapsed         | 7253        |
|    total_timesteps      | 80000       |
| train/                  |             |
|    approx_kl            | 0.007989121 |
|    clip_fraction        | 0.387       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.814       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0593      |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.0349     |
|    std                  | 0.0551      |
|    value_loss           | 0.00587     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.59       |
| time/                   |            |
|    fps                  | 11         |
|    iterations           | 33         |
|    time_elapsed         | 7477       |
|    total_timesteps      | 82500      |
| train/                  |            |
|    approx_kl            | 0.00833488 |
|    clip_fraction        | 0.36       |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.7      |
|    explained_variance   | 0.814      |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0556     |
|    n_updates            | 640        |
|    policy_gradient_loss | -0.0346    |
|    std                  | 0.0551     |
|    value_loss           | 0.0059     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.591        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 34           |
|    time_elapsed         | 7701         |
|    total_timesteps      | 85000        |
| train/                  |              |
|    approx_kl            | 0.0072172917 |
|    clip_fraction        | 0.382        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.8        |
|    explained_variance   | 0.82         |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0508       |
|    n_updates            | 660          |
|    policy_gradient_loss | -0.0357      |
|    std                  | 0.0551       |
|    value_loss           | 0.00569      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.598       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 35          |
|    time_elapsed         | 7924        |
|    total_timesteps      | 87500       |
| train/                  |             |
|    approx_kl            | 0.007635008 |
|    clip_fraction        | 0.366       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.8       |
|    explained_variance   | 0.818       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0469      |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.0354     |
|    std                  | 0.0551      |
|    value_loss           | 0.00578     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.596       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 36          |
|    time_elapsed         | 8150        |
|    total_timesteps      | 90000       |
| train/                  |             |
|    approx_kl            | 0.008982952 |
|    clip_fraction        | 0.398       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.7       |
|    explained_variance   | 0.821       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0517      |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.0361     |
|    std                  | 0.0551      |
|    value_loss           | 0.00569     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.599       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 37          |
|    time_elapsed         | 8376        |
|    total_timesteps      | 92500       |
| train/                  |             |
|    approx_kl            | 0.009355537 |
|    clip_fraction        | 0.399       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.7       |
|    explained_variance   | 0.823       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0453      |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0363     |
|    std                  | 0.0551      |
|    value_loss           | 0.00561     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.597       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 38          |
|    time_elapsed         | 8600        |
|    total_timesteps      | 95000       |
| train/                  |             |
|    approx_kl            | 0.008807858 |
|    clip_fraction        | 0.403       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.7       |
|    explained_variance   | 0.822       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0468      |
|    n_updates            | 740         |
|    policy_gradient_loss | -0.0371     |
|    std                  | 0.0551      |
|    value_loss           | 0.00569     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.6         |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 39          |
|    time_elapsed         | 8823        |
|    total_timesteps      | 97500       |
| train/                  |             |
|    approx_kl            | 0.008760556 |
|    clip_fraction        | 0.415       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.7       |
|    explained_variance   | 0.809       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0518      |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0371     |
|    std                  | 0.0551      |
|    value_loss           | 0.00614     |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 5            |
|    mean_reward          | 0.649        |
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.598        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 40           |
|    time_elapsed         | 9071         |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0077628717 |
|    clip_fraction        | 0.386        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.7        |
|    explained_variance   | 0.828        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0522       |
|    n_updates            | 780          |
|    policy_gradient_loss | -0.0346      |
|    std                  | 0.0551       |
|    value_loss           | 0.00545      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.603        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 41           |
|    time_elapsed         | 9294         |
|    total_timesteps      | 102500       |
| train/                  |              |
|    approx_kl            | 0.0063403146 |
|    clip_fraction        | 0.38         |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.7        |
|    explained_variance   | 0.825        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0504       |
|    n_updates            | 800          |
|    policy_gradient_loss | -0.0351      |
|    std                  | 0.0551       |
|    value_loss           | 0.0056       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5           |
|    ep_rew_mean          | 0.603       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 42          |
|    time_elapsed         | 9518        |
|    total_timesteps      | 105000      |
| train/                  |             |
|    approx_kl            | 0.008051517 |
|    clip_fraction        | 0.387       |
|    clip_range           | 0.1         |
|    entropy_loss         | -94.7       |
|    explained_variance   | 0.835       |
|    learning_rate        | 1e-05       |
|    loss                 | 0.0507      |
|    n_updates            | 820         |
|    policy_gradient_loss | -0.0355     |
|    std                  | 0.0551      |
|    value_loss           | 0.00529     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.6          |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 43           |
|    time_elapsed         | 9745         |
|    total_timesteps      | 107500       |
| train/                  |              |
|    approx_kl            | 0.0077549303 |
|    clip_fraction        | 0.375        |
|    clip_range           | 0.1          |
|    entropy_loss         | -94.7        |
|    explained_variance   | 0.834        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.0482       |
|    n_updates            | 840          |
|    policy_gradient_loss | -0.035       |
|    std                  | 0.0551       |
|    value_loss           | 0.00536      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5          |
|    ep_rew_mean          | 0.601      |
| time/                   |            |
|    fps                  | 11         |
|    iterations           | 44         |
|    time_elapsed         | 9967       |
|    total_timesteps      | 110000     |
| train/                  |            |
|    approx_kl            | 0.00690186 |
|    clip_fraction        | 0.389      |
|    clip_range           | 0.1        |
|    entropy_loss         | -94.7      |
|    explained_variance   | 0.84       |
|    learning_rate        | 1e-05      |
|    loss                 | 0.0527     |
|    n_updates            | 860        |
|    policy_gradient_loss | -0.0363    |
|    std                  | 0.0551     |
|    value_loss           | 0.00516    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5            |
|    ep_rew_mean          | 0.601        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 45           |
|    time_elapsed         | 10191        |
|    total_timesteps      | 112500       |
| train/                  |              |
|    approx_kl            | 0.0074261175 |
|    clip_fraction        | 0.371        |
